0,0
1,0.5000000000000001
2,0.5781250000000002
3,0.5000000000000002
4,6.661338147750939e-16
5,0.5000000000000004
6,0.5781250000000003
7,0.5000000000000006
8,1.3322676295501878e-15
9,0.5000000000000007
10,0.5781250000000007
11,0.5000000000000009
12,1.9984014443252818e-15
13,0.5000000000000011
14,0.5781250000000009
15,0.5000000000000011
16,2.4424906541753444e-15
17,0.5000000000000013
18,0.5781250000000012
19,0.5000000000000016
20,3.1086244689504383e-15
21,0.5000000000000017
22,0.5781250000000016
23,0.5000000000000018
24,3.774758283725532e-15
25,0.500000000000002
